packet_count,total_bytes,avg_bytes,iat_mean,anomaly_score
17,2582,151.88235294117646,0.0638582557439804,-0.16612073496514446
19,2778,146.21052631578948,0.1684965027703179,-0.019495445223794206
32,4968,155.25,0.0652494815088087,0.04168917590987786
17,2582,151.88235294117646,0.0642954409122467,-0.16153575579435026
17,2582,151.88235294117646,0.0632171928882598,-0.16338227701115365
34,5164,151.88235294117646,0.0919847560651374,-0.07976389302773285
17,2582,151.88235294117646,0.0664508044719696,-0.08880575151258363
34,5164,151.88235294117646,0.0924549102783203,-0.06546991924500839
17,2582,151.88235294117646,0.0640206187963485,-0.1625788153514397
2,196,98.0,2.002716064453125e-05,0.13077050324576422
15,2386,159.06666666666666,0.0006010702678135,0.011717833672024836
34,5164,151.88235294117646,0.1238139687162457,-0.030094552908647154
17,2582,151.88235294117646,0.0662384927272796,-0.096024109974303
17,2582,151.88235294117646,0.0661814361810684,-0.09669445378369407
34,5164,151.88235294117646,0.1228313012556596,-0.07271966761971316
17,2582,151.88235294117646,0.0645669400691986,-0.15452919253240976
34,5164,151.88235294117646,0.1231677604444099,-0.06034144386385154
19,2778,146.21052631578948,0.2217407756381564,0.07170435306396561
15,2386,159.06666666666666,0.0005899156842912,0.03789152945603391
34,5164,151.88235294117646,0.122422846880826,-0.052293899218508966
34,5164,151.88235294117646,0.0915888800765528,-0.06373533818293037
17,2582,151.88235294117646,0.063262939453125,-0.1654360403415155
17,2582,151.88235294117646,0.0637902617454528,-0.1669908287084259
19,2778,146.21052631578948,0.1688794957266913,0.02058761082140903
32,4968,155.25,0.0980733210040677,-0.0003421216281718209
19,2778,146.21052631578948,0.1684758928087022,-0.02379957664957516
32,4968,155.25,0.1302836402770011,-0.019942978086008478
2,196,98.0,2.312660217285156e-05,0.1395259256987179
32,4968,155.25,0.0983281673923615,-0.021421794211911094
17,2582,151.88235294117646,0.06474369764328,-0.141660714058994
17,2582,151.88235294117646,0.0632788836956024,-0.16572185237511966
17,2582,151.88235294117646,0.0632547587156295,-0.1654360403415155
34,5164,151.88235294117646,0.0925564260193795,-0.055790332068241355
34,5164,151.88235294117646,0.0921040954011859,-0.08078683968474654
17,2582,151.88235294117646,0.0632767379283905,-0.16572185237511966
34,5164,151.88235294117646,0.1230190305998831,-0.06470458188822215
17,2582,151.88235294117646,0.0689833164215087,-0.029003776286507132
17,2582,151.88235294117646,0.0646594911813736,-0.1528727513121887
19,2778,146.21052631578948,0.1132519510057237,0.018556195829375954
32,4968,155.25,0.1347935122828329,0.07258941371827399
17,2582,151.88235294117646,0.0637924969196319,-0.1669908287084259
17,2582,151.88235294117646,0.0631677508354187,-0.1550622546394475
17,2582,151.88235294117646,0.0684773176908493,-0.04758173390625875
17,2582,151.88235294117646,0.0631750524044036,-0.15676483037313593
17,2582,151.88235294117646,0.0642025023698806,-0.16195465180806062
17,2582,151.88235294117646,0.0643250048160553,-0.1621724493794981
17,2582,151.88235294117646,0.0664920061826706,-0.08798854718029042
17,2582,151.88235294117646,0.0634798109531402,-0.16275789119674366
17,2582,151.88235294117646,0.0639634430408477,-0.1629034330572039
17,2582,151.88235294117646,0.0644669979810714,-0.1558815007745854
17,2582,151.88235294117646,0.0632469356060028,-0.16377232891854426
17,2582,151.88235294117646,0.0632445663213729,-0.16377232891854426
17,2582,151.88235294117646,0.0633108764886856,-0.1662263786053425
17,2582,151.88235294117646,0.0648303776979446,-0.1386073038199065
34,5164,151.88235294117646,0.0918002706585508,-0.0703663167214375
19,2778,146.21052631578948,0.2230879333284166,0.023825665036129484
34,5164,151.88235294117646,0.1228067874908447,-0.07449245472726967
34,5164,151.88235294117646,0.1220160253120191,-0.03281142599546144
34,5164,151.88235294117646,0.1221061547597249,-0.04141940076323403
32,4968,155.25,0.1303252250917496,-0.023270044981021976
34,5164,151.88235294117646,0.1238207239093202,-0.028617609188483828
17,2582,151.88235294117646,0.064219132065773,-0.16283772274472508
