step,packet_count,total_bytes,avg_bytes,iat_mean,iat_std,unique_dst_ip,unique_dst_port,top_dst_port_ratio,anomaly_score,base_threshold,ext_threshold,level,high_risk,consecutive_suspicious,consecutive_extreme,is_extreme,min_packet_gate
16,9,716,79.55555555555556,0.25637176632881165,0.6779182589701194,3,2,0.5,-0.05043800126452763,0.1427723112222152,0.1900081828313001,NORMAL,False,0,0,False,True
17,13,1053,81.0,0.2560385862986247,0.6095878169018231,3,3,0.3333333333333333,-0.01943474778479226,0.1427723112222152,0.1900081828313001,NORMAL,False,0,0,False,True
18,11,913,83.0,0.10224883556365967,0.3064135013511171,3,3,0.3333333333333333,0.01792381884773475,0.1427723112222152,0.1900081828313001,NORMAL,False,0,0,False,True
19,11,913,83.0,0.10224883556365967,0.3064135013511171,3,3,0.3333333333333333,0.01792381884773475,0.1427723112222152,0.1900081828313001,NORMAL,False,0,0,False,True
20,8,674,84.25,0.4394944054739816,1.0761291667458837,3,2,0.5,-0.11761122632905158,0.1427723112222152,0.1900081828313001,NORMAL,False,0,0,False,True
21,4,337,84.25,0.0003330707550048828,0.0004710331789577517,3,1,1.0,-0.001086322374580062,0.1427723112222152,0.1900081828313001,NORMAL,False,0,0,False,False
22,8,674,84.25,0.2924251215798514,0.7154765180435048,3,2,0.5,-0.12776238535725698,0.1427723112222152,0.1900081828313001,NORMAL,False,0,0,False,True
23,8,674,84.25,0.2924251215798514,0.7154765180435048,3,2,0.5,-0.12776238535725698,0.1427723112222152,0.1900081828313001,NORMAL,False,0,0,False,True
24,8,674,84.25,0.2928534916469029,0.7165257086319018,3,2,0.5,-0.12776238535725698,0.1427723112222152,0.1900081828313001,NORMAL,False,0,0,False,True
25,11,930,84.54545454545455,0.30694644451141356,0.6550881223416468,3,3,0.4,-0.04664735242544621,0.1427723112222152,0.1900081828313001,NORMAL,False,0,0,False,True
26,7,593,84.71428571428571,0.1700815757115682,0.3798671723848341,3,2,0.6666666666666666,-0.023116412101524042,0.1427723112222152,0.1900081828313001,NORMAL,False,0,0,False,True
27,7,593,84.71428571428571,0.1700815757115682,0.3798671723848341,3,2,0.6666666666666666,-0.023116412101524042,0.1427723112222152,0.1900081828313001,NORMAL,False,0,0,False,True
28,7,593,84.71428571428571,0.5548890829086304,1.2403227951128948,3,2,0.6666666666666666,0.0736067737260876,0.1427723112222152,0.1900081828313001,NORMAL,False,0,0,False,True
29,9,755,83.88888888888889,0.19227883219718933,0.5079665441798048,3,3,0.4,-0.020135196110912912,0.1427723112222152,0.1900081828313001,NORMAL,False,0,0,False,True
30,9,755,83.88888888888889,0.19227883219718933,0.5079665441798048,3,3,0.4,-0.020135196110912912,0.1427723112222152,0.1900081828313001,NORMAL,False,0,0,False,True
31,13,1092,84.0,0.29893378416697186,0.6761391574483682,3,4,0.2857142857142857,0.05663528769323689,0.1427723112222152,0.1900081828313001,NORMAL,False,0,0,False,True
32,17,1429,84.05882352941177,0.28798092901706696,0.6261378287391608,3,5,0.2222222222222222,0.10473048375810567,0.13390693183485763,0.1900081828313001,NORMAL,False,0,0,False,True
33,17,1429,84.05882352941177,0.2561218738555908,0.5724835393167955,3,5,0.2222222222222222,0.07230423276484366,0.12681462832497156,0.1900081828313001,NORMAL,False,0,0,False,True
34,12,1011,84.25,0.186179594560103,0.39471316187160127,3,3,0.3333333333333333,-0.011002546688624715,0.12114078551706273,0.1900081828313001,NORMAL,False,0,0,False,True
35,16,1348,84.25,0.2731300354003906,0.5873314116679226,3,4,0.25,0.025975563264160728,0.11660171127073565,0.1900081828313001,NORMAL,False,0,0,False,True
36,12,1011,84.25,0.27967827970331366,0.631848297583718,3,3,0.3333333333333333,-0.06613316095736149,0.112970451873674,0.1900081828313001,NORMAL,False,0,0,False,True
37,8,674,84.25,0.2928534916469029,0.7169336828287076,3,2,0.5,-0.12776238535725698,0.11006544435602467,0.1900081828313001,NORMAL,False,0,0,False,True
38,4,337,84.25,0.0,0.0,3,1,1.0,-0.02193827896686068,0.10774143834190521,0.1900081828313001,NORMAL,False,0,0,False,False
39,4,337,84.25,0.0,0.0,3,1,1.0,-0.02193827896686068,0.10481109271820438,0.1900081828313001,NORMAL,False,0,0,False,False
