packet_count,total_bytes,avg_bytes,iat_mean,iat_std,unique_dst_ip,unique_dst_port,top_dst_port_ratio,anomaly_score
8,674,84.25,0.3189832823617117,0.7813462782643232,3,2,0.5,-0.11077032204808113
8,674,84.25,0.1429284300122942,0.3501017232672181,3,2,0.5,-0.07830907663416209
8,674,84.25,0.4520595754895891,1.1073152932886663,3,2,0.5,-0.09980262663378969
14,1113,79.5,0.3150731416848989,0.6485872099693029,3,3,0.3333333333333333,-0.012051298432902702
8,674,84.25,0.2918539728437151,0.7124480760190816,3,2,0.5,-0.13075953861693268
4,337,84.25,0.0,0.0,3,1,1.0,-0.02193827896686068
8,674,84.25,0.148782696042742,0.3543456901985441,3,2,0.5,-0.08859999402880742
8,674,84.25,0.1450702803475516,0.3553481636940077,3,2,0.5,-0.0860435828986082
8,674,84.25,0.2912828581673758,0.7134943733295543,3,2,0.5,-0.12926814426730804
10,776,77.6,0.3350545565287272,0.9265902027480158,3,2,0.5,-0.03133444543123021
10,776,77.6,0.354489352968004,0.7082083582738141,3,2,0.5,-0.06661467544047867
4,337,84.25,0.0,0.0,3,1,1.0,-0.02193827896686068
8,674,84.25,0.3276932920728411,0.8026813577112764,3,2,0.5,-0.10145626604272334
8,674,84.25,0.4287854262760707,1.050305503518148,3,2,0.5,-0.1256913466495116
4,337,84.25,0.0,0.0,3,1,1.0,-0.02193827896686068
4,337,84.25,0.0029983520507812,0.004240310134984,3,1,1.0,0.15222587666138154
12,1011,84.25,0.1959928165782581,0.4158230118311869,3,3,0.3333333333333333,-0.02907498949980819
4,337,84.25,0.0083289941151936,0.0117789764386326,3,1,1.0,0.18773573210992067
10,776,77.6,0.3878059917026096,0.7390053782066467,3,2,0.5,-0.04324019033515192
18,1450,80.55555555555556,0.2391156449037439,0.4389209469794017,3,4,0.25,0.14465845395222976
12,1011,84.25,0.1940847093408758,0.4117160627036897,3,3,0.3333333333333333,-0.0359613820639082
8,674,84.25,0.1549225875309535,0.3689810404595116,3,2,0.5,-0.08669471669317613
12,1011,84.25,0.3341964591633189,0.7817453072818188,3,3,0.3333333333333333,-0.035610193082909414
8,674,84.25,0.2869992937360491,0.7030018261924686,3,2,0.5,-0.1299732817384598
12,1011,84.25,0.2757710760289972,0.6222376350801234,3,3,0.3333333333333333,-0.06377087075847204
12,1011,84.25,0.3716322725469416,0.8967861313920248,3,3,0.3333333333333333,-0.05306449596789076
6,439,73.16666666666667,0.280059814453125,0.56011962890625,3,1,1.0,0.12481046796513229
12,1011,84.25,0.3665438998829234,0.8829959148346779,3,3,0.3333333333333333,-0.06494099567136435
8,674,84.25,0.2832868439810617,0.6837616796870227,3,2,0.5,-0.11778275530472476
10,776,77.6,0.2283302148183187,0.4312724002438847,3,2,0.5,-0.01767182603347034
8,674,84.25,0.354536839893886,0.8684343527588358,3,2,0.5,-0.08264161850496948
8,674,84.25,0.3443991456712995,0.8436021747451377,3,2,0.5,-0.08834816479288854
8,674,84.25,0.4320695400238037,1.0481840828696771,3,2,0.5,-0.12381319101817168
8,674,84.25,0.4560575825827462,1.117108370654929,3,2,0.5,-0.0890472733209644
4,337,84.25,0.0,0.0,3,1,1.0,-0.02193827896686068
10,776,77.6,0.2255538834465874,0.5845338117318015,3,2,0.5,-0.026975727250509063
