step,packet_count,total_bytes,avg_bytes,iat_mean,iat_std,unique_dst_ip,unique_dst_port,top_dst_port_ratio,anomaly_score,base_threshold,ext_threshold,level,high_risk,consecutive_suspicious,consecutive_extreme,is_extreme,min_packet_gate,phase
62,11,930,84.54545454545455,0.30722579956054685,0.6557870568658913,3,3,0.4,-0.04664735242544621,0.0891320193021786,0.1900081828313001,NORMAL,False,0,0,False,True,NORMAL
63,11,930,84.54545454545455,0.30722579956054685,0.6557870568658913,3,3,0.4,-0.04664735242544621,0.08945954285056908,0.1900081828313001,NORMAL,False,0,0,False,True,NORMAL
64,7,593,84.71428571428571,0.1706254482269287,0.3815301009267836,3,2,0.6666666666666666,-0.023116412101524042,0.08972156168928146,0.1900081828313001,NORMAL,False,0,0,False,True,NORMAL
65,11,930,84.54545454545455,0.38398241996765137,0.8662507334334782,3,3,0.4,-0.02250416437311803,0.08993117676025136,0.1900081828313001,NORMAL,False,0,0,False,True,NORMAL
66,8,674,84.25,0.40229593004499165,0.985419754208626,3,3,0.5,-0.051710523734226355,0.09009886881702729,0.1900081828313001,NORMAL,False,0,0,False,True,NORMAL
67,4,337,84.25,0.0,0.0,3,2,0.5,0.05587660396149319,0.09023302246244803,0.1900081828313001,NORMAL,False,0,0,False,False,NORMAL
68,8,674,84.25,0.4386236327035086,1.0744040892495406,3,3,0.5,-0.07283358507281917,0.09034034537878463,0.1900081828313001,NORMAL,False,0,0,False,True,NORMAL
69,8,674,84.25,0.4386236327035086,1.0744040892495406,3,3,0.5,-0.07283358507281917,0.0904262037118539,0.1900081828313001,NORMAL,False,0,0,False,True,NORMAL
70,9,755,83.88888888888889,0.2561826705932617,0.6777956365941503,3,3,0.4,-0.05601554521069685,0.09049489037830932,0.1900081828313001,NORMAL,False,0,0,False,True,NORMAL
71,9,755,83.88888888888889,0.2561826705932617,0.6777956365941503,3,3,0.4,-0.05601554521069685,0.09054983971147365,0.1900081828313001,NORMAL,False,0,0,False,True,NORMAL
72,9,755,83.88888888888889,0.2561826705932617,0.6777956365941503,3,3,0.4,-0.05601554521069685,0.09059379917800511,0.1900081828313001,NORMAL,False,0,0,False,True,NORMAL
73,8,674,84.25,0.43902768407549175,1.0749857429111103,3,3,0.5,-0.07283358507281917,0.09062896675123029,0.1900081828313001,NORMAL,False,0,0,False,True,NORMAL
74,8,674,84.25,0.43902768407549175,1.0749857429111103,3,3,0.5,-0.07283358507281917,0.08951184806642022,0.1900081828313001,NORMAL,False,0,0,False,True,NORMAL
75,5,397,79.4,0.5126157402992249,0.8872994300450997,3,1,1.0,0.15389587186631482,0.08976340586196238,0.1900081828313001,SUSPICIOUS,False,1,0,False,True,NORMAL
76,7,537,76.71428571428571,0.4693771203358968,0.7599189309990303,3,1,1.0,0.14921289502301693,0.09639341047607353,0.1900081828313001,SUSPICIOUS,False,2,0,False,True,NORMAL
77,7,537,76.71428571428571,0.4693771203358968,0.7599189309990303,3,1,1.0,0.14921289502301693,0.10695730738546222,0.1900081828313001,SUSPICIOUS,False,3,0,False,True,NORMAL
78,10,776,77.6,0.3125849829779731,0.6582112298360097,3,3,0.5,-0.037128724937267765,0.11540842491297318,0.1900081828313001,NORMAL,False,0,0,False,True,NORMAL
79,10,776,77.6,0.3125849829779731,0.6582112298360097,3,3,0.5,-0.037128724937267765,0.12216931893498192,0.1900081828313001,NORMAL,False,0,0,False,True,NORMAL
80,10,832,83.2,0.2274962001376682,0.6434564232460687,3,3,0.4,-0.031774114242652585,0.12757803415258892,0.1900081828313001,NORMAL,False,0,0,False,True,NORMAL
81,15,1250,83.33333333333333,0.21951418263571604,0.5711882598724426,3,4,0.25,0.0693059335846774,0.13190500632667454,0.1900081828313001,NORMAL,False,0,0,False,True,NORMAL
82,15,1250,83.33333333333333,0.21951418263571604,0.5711882598724426,3,4,0.25,0.0693059335846774,0.135366584065943,0.1900081828313001,NORMAL,False,0,0,False,True,NORMAL
83,9,755,83.88888888888889,0.12821659445762634,0.338851533920626,3,3,0.4,-0.009775280227511951,0.1381358462573578,0.1900081828313001,NORMAL,False,0,0,False,True,NORMAL
84,8,674,84.25,0.43874294417245047,1.0742882754751764,3,3,0.5,-0.07283358507281917,0.14035125601048964,0.1900081828313001,NORMAL,False,0,0,False,True,NORMAL
85,8,674,84.25,0.43874294417245047,1.0742882754751764,3,3,0.5,-0.07283358507281917,0.1421235838129951,0.1900081828313001,NORMAL,False,0,0,False,True,NORMAL
86,8,674,84.25,0.29278111457824707,0.7171643370400426,3,2,0.5,-0.12776238535725698,0.1435414460549995,0.1900081828313001,NORMAL,False,0,0,False,True,NORMAL
87,8,674,84.25,0.29278111457824707,0.7171643370400426,3,2,0.5,-0.12776238535725698,0.144675735848603,0.1900081828313001,NORMAL,False,0,0,False,True,NORMAL
88,8,674,84.25,0.40203860827854704,0.9847894471811249,3,3,0.5,-0.05009750156970788,0.14558316768348578,0.1900081828313001,NORMAL,False,0,0,False,True,NORMAL
89,13,1092,84.0,0.32000039021174115,0.8032976408604804,3,4,0.2857142857142857,0.07144949757698671,0.14630911315139203,0.1900081828313001,NORMAL,False,0,0,False,True,NORMAL
